date,time_class,opening,move_no,side,phase,sharp,loss,played,best,fen,game
2026-09-23,rapid,Kings Pawn Opening Kings Knight Variation,34,black,middlegame,False,23.5,b4,a4+,r4rk1/5p2/3p2p1/pppP2Pp/2n1PR2/PK6/2P5/7R b - - 1 34,https://www.chess.com/game/live/184233567334
2026-09-23,rapid,Kings Pawn Opening Kings Knight Variation,39,black,middlegame,False,27.1,Rd8,Re8,r5k1/5p2/3p1Rp1/2pP2Pp/pr2P3/R2K4/2P5/8 b - - 4 39,https://www.chess.com/game/live/184233567334
2026-09-23,rapid,Kings Pawn Opening Kings Knight Variation,44,black,middlegame,False,23.1,Rc8,Kg7,5rk1/R4p2/3R2p1/2pP2rp/2K1P3/2P5/8/8 b - - 1 44,https://www.chess.com/game/live/184233567334
2026-09-23,rapid,Kings Pawn Opening Kings Knight Variation,54,black,middlegame,False,57.1,Rf3,Rg2,2r5/5p2/6k1/3P1R2/2PKP1p1/6rp/7R/8 b - - 3 54,https://www.chess.com/game/live/184233567334
2026-09-23,rapid,Kings Pawn Opening Kings Knight Variation,68,black,endgame,True,32.0,Rf2,Ke8,8/3k1pK1/3P4/4P3/8/5r2/8/3R4 b - - 4 68,https://www.chess.com/game/live/184233567334
2026-09-23,rapid,Kings Pawn Opening Kings Knight Variation,69,black,endgame,True,34.0,Rf4,Ke8,8/3k1pK1/3P4/4P3/8/3R4/5r2/8 b - - 6 69,https://www.chess.com/game/live/184233567334
2026-09-23,rapid,Kings Pawn Opening Kings Knight Variation,70,black,endgame,True,33.8,Rf3,Ke8,8/3k1pK1/3P4/4P3/5r2/8/3R4/8 b - - 8 70,https://www.chess.com/game/live/184233567334
2026-09-23,rapid,Kings Pawn Opening Kings Knight Variation,71,black,endgame,False,36.3,Rf4,Rf5,8/3k1pK1/3P4/4P3/8/5r2/4R3/8 b - - 10 71,https://www.chess.com/game/live/184233567334
2026-09-23,rapid,Queens Pawn Opening Horwitz Defense,28,black,middlegame,False,25.2,Qg6,Rfd8,1r3rk1/5pp1/2b1pq1p/4p3/pp2P3/3B1PQ1/1P4RP/5R1K b - - 1 28,https://www.chess.com/game/live/184233173950
2026-09-23,rapid,Queens Pawn Opening Horwitz Defense,29,black,middlegame,True,59.2,Qf6,Qh7,1r3rk1/5pp1/2b1p1qp/4Q3/pp2P3/3B1P2/1P4RP/5R1K b - - 0 29,https://www.chess.com/game/live/184233173950
2026-09-23,rapid,Kings Gambit Accepted Fischer Defense,18,black,middlegame,False,40.2,Bxc3,Kf8,3rk1nr/2p1qp2/Q6p/4b1p1/P4p2/NPP5/6PP/R1B2RK1 b k - 0 18,https://www.chess.com/game/live/184232897572
2026-09-23,rapid,Kings Gambit Accepted Fischer Defense,22,black,middlegame,False,25.4,Qd7,c6,3rk1nr/2p1q3/5p1p/1Q2b1p1/P1N2p2/1P6/6PP/4RRK1 b k - 1 22,https://www.chess.com/game/live/184232897572
2026-09-23,rapid,Kings Gambit Accepted Fischer Defense,30,black,middlegame,False,25.9,Rd6,Kg8,3r1k2/2p1n1q1/7p/4N1p1/PQ3p2/1P6/6PP/4R2K b - - 10 30,https://www.chess.com/game/live/184232897572
2026-09-21,rapid,Kings Pawn Opening,14,white,middlegame,True,24.3,b5,Bg7,r3k2r/1pp1bp1p/p2qbnpB/4p3/1P2P3/2P2Q1P/1P2NPP1/RN2K2R w KQkq - 2 14,https://www.chess.com/game/live/184134823158
2026-09-21,rapid,Kings Pawn Opening,16,white,middlegame,True,22.1,Rxa5,Bg7,3rk2r/1pp1bp1p/3qbnpB/pP2p3/4P3/2P2Q1P/1P2NPP1/RN3RK1 w k - 2 16,https://www.chess.com/game/live/184134823158
2026-09-21,rapid,Kings Pawn Opening,19,white,middlegame,False,34.8,Bg5,Bg7,R2bk2r/1pp2p1p/4bnpB/1P2p3/4P3/2Pr3P/1P2NPP1/1N3RK1 w k - 2 19,https://www.chess.com/game/live/184134823158
